PC1,PC2,Cluster
-1227.1519274997756,1.781372034864095,1
-1056.782304385585,-6.546707214846984,1
-842.6565992478228,-10.73429764036978,1
1203.7070409112584,-54.75146574163123,2
385.0130618708022,-15.284301331400442,2
-1034.3061609863234,-7.985499989588763,1
-1313.8700246817073,-8.513637455676724,1
-646.9542460157569,-6.56764799390996,0
-1287.816337354417,-6.025438994607008,1
-1233.7485018597945,-3.0879957899883825,1
-692.9454479855422,-5.668209413569175,0
325.7661326810605,-17.596910846656172,0
-1246.80462506938,-5.828221662306945,1
-1220.0843982637157,-3.3530446209665774,1
3434.3355849893223,-76.39190173204484,3
-1001.2538127662576,-5.634188139180676,1
-404.848346042196,-16.298662985897835,0
1817.900303486256,33.379360495267946,2
1645.351358301179,2.992181889396404,2
-241.65220323724495,-2.415626955044214,0
-1215.9313337844635,-0.4387020220974733,1
-772.2389508890006,-7.115221222489272,1
-234.52889848521204,-1.643155960221594,0
-131.42737399420616,12.328407818526992,0
-1009.3109429429616,-8.474347299329773,1
10846.16863360913,32.043233452225095,3
1196.8552672535577,-18.644663533468503,2
771.2134776818998,-15.979877107622178,2
87.52259372760477,-14.936134234567614,0
-1323.8681134457809,-8.318175786124291,1
-396.5659206146231,-10.46517109083076,0
-640.8799480353407,23.290892855327638,0
-1188.3353674212544,-7.970941638526164,1
-883.2568277086984,-6.942558165276823,1
-1255.36165962301,-8.658604504384957,1
-901.2933529854564,8.39884153126094,1
-629.2120683181686,3.0778130266038524,0
-1084.8551626828844,-9.994662799254096,1
-97.4953052261144,-5.322348827948178,0
-1185.738078150913,-3.025502099834255,1
-768.0441815098337,2.7951881218591303,1
-827.095799786467,-12.037855780792118,1
-1218.8984017254097,-2.377013601300592,1
-1271.7998433888715,-5.3393883058960245,1
-793.9108197444185,-15.684590211827262,1
-695.4560381411488,19.362002173280978,0
-1323.8681134457809,-8.318175786124291,1
-1207.292626591406,-5.601711304758833,1
-1179.7587793723496,-4.141692956892695,1
-614.6144096103712,6.789322628996624,0
1497.6117031460417,-62.49777830004111,2
-1197.7748901923023,-4.788605165002825,1
-1138.8057281540105,-6.941101480376842,1
-1105.812039571239,-7.586339600042078,1
-838.7211418612517,11.1721115668179,1
-883.7669900905499,1.0592024526262005,1
-551.8855319993934,-1.4321623131856214,0
670.2858122701157,-4.280126984518764,2
-654.2913309964823,-2.4293450568887565,0
-1304.832638964662,-6.691880300920284,1
-850.4102714063358,-6.587856417335915,1
-662.7643720289096,0.7340854026914378,0
-1275.8381855303285,-7.258916956715496,1
-963.4515291415296,7.61595797376969,1
-1152.7443900886472,-3.670767901836133,1
961.1820478073382,18.939392720664078,2
-1024.229860330602,-4.185607822587483,1
-177.37230468655616,-19.74811792818293,0
-661.7281930435929,27.693420450235344,0
-700.9498825624186,15.472468711535791,0
-1102.2931553284166,-6.6559012918271065,1
-881.320144614736,25.99462664461248,1
-129.65059077294404,11.29443057211135,0
-1062.66383629981,-0.4362233790172531,1
-1313.8309176166963,-6.515903407742458,1
-1259.8412457044894,-7.571764766809407,1
-520.6743624653274,54.91437094288025,0
56.81672091596556,4.65000462025025,0
-1270.8000351979106,-5.358969882709467,1
1331.4564034138057,-43.26039796576911,2
-1296.8341697013625,-6.848337431872736,1
-1068.682241873021,-1.3177515670110882,1
-1102.3909226344122,-11.65021693273486,1
-1098.7938251844755,-6.72435998023351,1
-1198.774698653009,-4.769037937198209,1
-1000.7148014779036,-3.646238800240134,1
918.2954601579796,-13.19693878592362,2
3222.246441343933,9.859903808372673,3
-1207.812084243897,-6.590788199410852,1
-1323.8485600092647,-7.319314006483886,1
276.0596510573014,-10.629371106617103,0
-534.6671053495756,-5.768051246392785,0
-835.3833290185531,-13.874280354741364,1
-72.96847648276935,-7.8005006417592835,0
224.72587810207824,-1.633651723069666,0
-828.8454650707763,-12.003637552103587,1
-969.4665353875544,8.73284805544519,1
-1323.8485600092647,-7.319314006483886,1
-910.6342473404655,-0.4116762273470744,1
799.3839562613325,1.5563674296460643,2
-92.2785116143766,1.570354044760025,0
-981.95393756576,0.9830929690507428,1
-1323.8681134457809,-8.318175786124291,1
362.5337604493736,-21.313705899901723,0
-848.8221373211088,-10.61589734415755,1
838.3625681163762,-16.62993997866147,2
-807.3261827209853,8.559633740085522,1
-1310.8705984643625,-8.572296420069334,1
-932.7091147433152,13.010195748481928,1
-1070.7209662927512,-3.276372890738809,1
-1097.1767915015453,-0.7605206605584733,1
235.33031858969048,28.13846048224132,0
1362.5667724618345,27.40078158029926,2
-860.3300945810098,-2.394720756402723,1
-344.2828933427759,-12.797041964970994,0
160.06314505534942,-26.347236162899986,0
-818.9060382222921,-15.195765508555526,1
-133.62751563847678,7.375233330665205,0
-1047.8817930121204,-11.716998250553722,1
-1089.8737598629698,-10.89576226040344,1
-1110.7449316494135,-3.0017529138087804,1
1977.5606068589611,-14.511855014904164,2
5396.669877843682,54.10355385036711,3
1772.5673757956442,-13.417726858273609,2
689.1210195903732,-5.458841558457155,2
-510.97134831647065,-3.94205073243052,0
-1198.6964852860644,-0.7736109137657845,1
-953.6064696385208,1.4279666300299638,1
116.88431994295956,-9.514889708202352,0
-167.20844368314533,-2.9597221471987405,0
5062.832334665939,-32.29738430079636,3
-996.7740730540048,19.25933597807012,1
-766.8070706129856,7.605500207317673,1
-952.1458635617712,-0.599094667521646,1
-1310.7728321970642,-3.57803299637152,1
-985.4430607455496,-6.942615421444117,1
-718.8180507603796,-3.1637262401765387,0
-307.5234219631648,-26.195998210061116,0
-1059.6058003166784,2.499540754738636,1
-310.6627963242863,-11.145918008220187,0
1877.0009962506592,-13.959695436998576,2
674.472484421374,5.345178033096499,2
-286.3123503216357,-15.61911576734964,0
556.3631633631828,-2.1217626079752208,2
319.9581453699293,-4.389426459491799,0
-940.3241395643696,-9.823483870648795,1
-159.9848902882925,3.8937183657555288,0
-1289.8159551758783,-5.986350071284334,1
-253.07311669637463,-0.5716245335992234,0
-1323.8681134457809,-8.318175786124291,1
-1044.8432596529735,-9.77791897155043,1
-49.80913070451175,-9.252651689781406,0
529.4655993580136,4.498400071667239,2
-1241.7273675619192,-1.930535888290013,1
-552.5998484896905,-6.414441801298159,0
-1014.8112876343488,11.61811845752082,1
-628.3273664266411,-7.931170754622505,0
-1287.7967834306864,-5.026552295537368,1
270.99382088521224,6.58919865224979,0
-549.1396750201767,-8.482747972118034,0
952.3025322784152,29.10549261413937,2
-1318.849514940766,-7.417010735381972,1
-1260.8606077841314,-8.55106831399206,1
-451.5159230324261,-2.8901535336939386,0
34.52639142299222,18.076111382059224,0
-438.3827681511876,16.332967763241705,0
211.2242683128975,-14.35760868101226,0
-1263.2037021618946,-0.5112921345251298,1
-807.7126074868928,-5.422217470773978,1
-1323.8681134457809,-8.318175786124291,1
-934.7860845530702,-7.9332977504101265,1
-779.1593983663571,-2.9829057343892726,1
-1065.0358806632914,-2.390481283591064,1
-1306.8518100713866,-7.651646592952404,1
-634.4991431269767,-10.808210277992256,0
865.9647531305595,-13.77323108741366,2
-390.31711628579467,-10.587392060345364,0
-888.333012194596,3.149156303280005,1
-949.7441595488112,-5.644454010718225,1
-583.3414193642263,-0.8169877280077458,0
-1323.8681134457809,-8.318175786124291,1
-1267.8592692459035,-8.41421313005631,1
-1009.7757164971568,7.522675407425575,1
-831.9435196561232,0.0478775395180903,1
102.27487573414804,-19.221628065090485,0
-630.6638824464667,-0.0195551269810554,0
-1122.1329025308244,1.7260575027268228,1
-791.9182941607643,-4.731870460212832,1
-993.6379768744896,0.2101870644855594,1
-1237.9049750819197,5.988643430030159,1
-1195.2558146090214,-3.8386104922314015,1
-1168.496480951875,0.6342890820434501,1
-385.13845456521415,32.424268155153925,0
108.47027737719644,23.624719782969308,0
-1239.7864104206635,-4.966228701851809,1
-1156.4627845750608,-0.6002911826898796,1
-927.2288588505426,-5.083368038582347,1
-1301.8527660878442,-7.749395800626413,1
-952.8608556543984,-11.576793879590417,1
890.5832370626572,-2.662544293445668,2
-1293.3152849323346,-5.917872640457992,1
-679.4828944871712,5.060188054568421,0
603.844732835071,-12.043535632083415,2
-455.3982088233623,-1.320655367847591,0
-25.989703218456043,-5.416493755473194,0
210.1872646933709,24.891389502015024,0
1285.4847760200932,60.86293143315408,2
301.2704616072549,8.847489339635485,0
834.9312699293614,2.4228072124261697,2
-991.7947870145464,-7.819820041443225,1
-1283.875762508259,-9.100227099602806,1
1076.222898252342,-31.27415250971288,2
-553.957553065886,10.525324133751932,0
-772.8757294828036,-14.09748552759391,1
2374.648652326715,5.504769335304571,2
